City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
252,Kaitangata,NZ,-46.2817,169.8464,55.99,68,86,1.99,overcast clouds
253,Ostrovnoy,RU,68.0531,39.5131,30.42,84,100,18.03,overcast clouds
254,Victoria,HK,22.2855,114.1577,72.0,79,100,3.0,overcast clouds
255,Knysna,ZA,-34.0363,23.0471,68.0,45,0,8.05,clear sky
256,Loukhi,RU,66.0764,33.0381,37.4,85,100,6.53,overcast clouds
257,Mahibadhoo,MV,3.7833,72.9667,83.77,64,100,8.23,overcast clouds
258,Padang,ID,-0.9492,100.3543,76.53,87,18,2.77,moderate rain
259,Cudahy,US,33.9606,-118.1853,84.0,13,1,4.21,clear sky
260,Bayshore Gardens,US,27.4253,-82.5904,87.01,69,1,14.97,clear sky
261,Velingara,SN,13.15,-14.1167,98.51,17,14,3.33,few clouds
262,Namibe,AO,-15.1961,12.1522,80.56,75,5,6.38,clear sky
263,Nhulunbuy,AU,-12.2333,136.7667,78.8,83,100,8.05,overcast clouds
264,Coihaique,CL,-45.5752,-72.0662,53.6,82,75,3.44,light rain
265,Poronaysk,RU,49.2167,143.1167,32.85,96,100,22.26,snow
266,Biak,ID,-0.9131,122.8766,74.25,83,100,2.15,light rain
267,Loughrea,IE,53.1969,-8.5669,50.0,81,75,13.8,broken clouds
268,Pemba,MZ,-12.974,40.5178,78.8,78,20,13.8,few clouds
269,Quthing,LS,-30.4,27.7003,57.07,40,0,2.17,clear sky
270,Voyvozh,RU,62.892,54.9635,20.19,83,14,2.66,few clouds
271,Ulladulla,AU,-35.35,150.4667,53.6,94,6,9.22,clear sky
272,Katsuura,JP,35.1333,140.3,53.01,45,0,2.68,clear sky
273,Middelburg,ZA,-25.7751,29.4648,57.76,47,3,6.02,clear sky
274,Veydelevka,RU,50.1521,38.4492,47.84,74,97,5.59,light rain
275,Lompoc,US,34.6391,-120.4579,75.99,52,0,6.91,clear sky
276,Mount Isa,AU,-20.7333,139.5,68.0,26,5,11.5,clear sky
277,Saint-Pierre,RE,-21.3393,55.4781,75.2,78,90,11.5,overcast clouds
278,Simbahan,PH,6.3032,120.5836,82.49,79,100,16.62,overcast clouds
279,Belyy Yar,RU,53.6039,91.3903,37.4,60,40,8.95,scattered clouds
280,Portland,US,45.5234,-122.6762,73.0,33,62,1.99,broken clouds
281,Bulgan,MN,48.8125,103.5347,33.85,54,8,1.97,clear sky
282,Talcahuano,CL,-36.7167,-73.1167,64.4,63,0,8.05,clear sky
283,The Valley,AI,18.217,-63.0578,86.0,65,20,12.66,few clouds
284,Alvdal,NO,62.1077,10.6307,46.4,34,0,4.61,clear sky
285,Kieta,PG,-6.2167,155.6333,79.45,78,64,3.2,broken clouds
286,Iqaluit,CA,63.7506,-68.5145,19.4,68,75,3.44,broken clouds
287,Aklavik,CA,68.2191,-135.0107,41.0,48,1,13.8,clear sky
288,Pangai,TO,-19.8,-174.35,77.0,73,20,4.61,few clouds
289,Zhaotong,CN,27.3167,103.7167,48.72,91,100,2.95,overcast clouds
290,Arlit,NE,18.7369,7.3853,91.94,5,56,7.11,broken clouds
291,Smolenka,RU,52.1352,113.4974,15.8,62,20,6.71,few clouds
292,Nazare,BR,-13.035,-39.0144,82.11,67,99,6.82,overcast clouds
293,Chokurdakh,RU,70.6333,147.9167,10.2,91,100,18.3,overcast clouds
294,Noumea,NC,-22.2763,166.4572,75.99,94,75,2.3,broken clouds
295,Faanui,PF,-16.4833,-151.75,82.38,70,8,14.09,clear sky
296,Sakakah,SA,29.9697,40.2064,80.6,14,0,6.91,clear sky
297,Isla,PH,15.8939,120.3036,76.62,84,94,4.05,overcast clouds
298,Bubaque,GW,11.2833,-15.8333,77.94,72,99,19.6,overcast clouds
299,Ust-Nera,RU,64.5667,143.2,-0.89,91,55,3.71,broken clouds
300,New Bern,US,35.1085,-77.0441,73.99,40,75,3.44,broken clouds
301,Alofi,NU,-19.0595,-169.9187,69.8,100,45,1.14,scattered clouds
302,Virarajendrapet,IN,12.2,75.8,68.29,94,100,2.62,overcast clouds
303,San Patricio,US,28.017,-97.5169,62.01,59,90,16.11,overcast clouds
304,Vagur,FO,61.4732,-6.8119,43.79,74,100,8.77,overcast clouds
305,Mount Gambier,AU,-37.8333,140.7667,51.8,100,90,11.5,mist
306,Nyzhnya Krynka,UA,48.1135,38.1606,49.93,68,95,5.1,overcast clouds
307,Puerto Leguizamo,CO,-0.1934,-74.7819,88.2,58,77,2.15,broken clouds
308,Saint Anthony,US,45.0205,-93.218,62.01,36,1,9.22,clear sky
309,Viransehir,TR,37.2353,39.7631,68.22,42,100,6.71,overcast clouds
310,Port Hawkesbury,CA,45.6169,-61.3485,37.99,100,90,10.36,mist
